,dog_facilities_name,dog_facilities_type,address_name,,,,,,,,,,미용,49
22,건강플러스약국,약국,남양주 진접읍,,동물의약품판매,,,,약국,,,,,
23,아침약국,약국,남양주 진접읍,,동물의약품판매,,,,약국,,,,,
24,별이네펫,애견훈련,남양주 진접읍,,,,,,위탁,,,,,
25,다산동물약국,약국,남양주 진접읍,,동물의약품판매,,,,약국,,,,,
26,강아지나라동물병원,동물병원,남양주 진접읍,,,,,,병원,,,,,
27,미소펫푸드,동물사료제조,남양주 진접읍,,산업단지내의 공장,,,,0,,,,,
28,러블리펫,반려동물용품,남양주 진접읍,,,,,,용품,,,,,
29,진접 서울동물약국,동물약국,남양주 진접읍,,,,,,약국,,,,,
30,오션,동물사료제조,남양주 진접읍,,산업단지내의 공장,,,,0,,,,,
31,펫엔조이,반려동물,남양주 진접읍,,용품판매점,,,,용품,,,,,
32,김쌤애견방문훈련소,애견훈련,남양주 진접읍,,,,,,위탁,,,,,
33,유레크레,반려동물분양,남양주 진접읍,,,,,,분양,,,,,
34,핫독연기견학교,애견훈련,남양주 진접읍,,,,,,위탁,,,,,
35,명인 반려견 방문학교,애견훈련,남양주 진접읍,,,,,,위탁,,,,,
36,에이티바이오,동물사료제조,남양주 진접읍,,동물사료제조공장,,,,0,,,,,
37,엔터펫,반려동물,남양주 진접읍,,동물사료제조공장,,,,0,,,,,
38,이엠연구소 공장,동물사료제조,남양주 진접읍,,동물사료제조공장,,,,0,,,,,
39,두웃,동물사료제조,남양주 진접읍,,동물사료제조공장+애견사료파는곳,,,,용품,,,,,
40,영진알비에스,반려동물,남양주 진접읍,,동물사료제조공장,,,,0,,,,,
41,한라동물약품병원,의약품제조,남양주 진접읍,,의약품제조,,,,0,,,,,
42,자담치킨 남양주진접점,"치킨,닭강정",남양주 진접읍,,,,,,0,,,,,
43,365종로온누리약국,약국,남양주 진접읍,,,,,,약국,,,,,
44,참약사 진접우리약국,약국,남양주 진접읍,,,,,,약국,,,,,
45,유니더버터,"카페,디저트",남양주 진접읍,,동반가능,,,,0,,,,,
46,광릉내열린약국,약국,남양주 진접읍,,,,,,약국,,,,,
47,스프링펫,애견용품,남양주 진접읍,,,,,,용품,,,,,
48,공드린상조,장례대행,남양주 진접읍,,사람,,,,0,,,,,
49,보령산업,제조업,남양주 진접읍,,구조장비파는곳,,,,0,,,,,
50,글로리펫,애견용품,남양주 진접읍,,,,,,용품,,,,,
51,이레펫,애견사료,남양주 진접읍,,,,,,용품,,,,,
52,누키스트,"가구,인테리어",남양주 진접읍,,반려동물원목가구제작,,,,용품,,,,,
0,21그램 반려동물 장례식장 남양주점,반려동물장례,남양주 화도읍,,,,,,장례,,,,,
1,마석동물병원,동물병원,남양주 화도읍,,,,,,병원,,,,,
2,몽몽이엠파크,반려동물장례,남양주 화도읍,,,,,,장례,,,,,
3,나라라펫,반려동물미용,남양주 화도읍,,,,,,미용,,,,,
4,루시드펫,반려동물미용,남양주 화도읍,,,,,,미용,,,,,
5,마이펫동물병원,동물병원,남양주 화도읍,,,,,,병원,,,,,
6,이쁘개이쁘개,반려동물미용,남양주 화도읍,,,,,,미용,,,,,
7,대학동물종합병원,동물병원,남양주 화도읍,,,,,,병원,,,,,
8,창현동물병원,동물병원,남양주 화도읍,,,,,,병원,,,,,
9,화도동물병원,동물병원,남양주 화도읍,,,,,,병원,,,,,
10,오댕이네,반려동물미용,남양주 화도읍,,,,,,미용,,,,,
11,한사랑동물병원,동물병원,남양주 화도읍,,,,,,병원,,,,,
12,모꼬지댕 미용실,반려동물미용,남양주 화도읍,,,,,,미용,,,,,
13,강아지를부탁해,반려동물미용,남양주 화도읍,,,,,,미용,,,,,
14,연분홍약국,약국,남양주 화도읍,,,,,,약국,,,,,
15,겟풀 남양주점,반려동물미용,남양주 화도읍,,,,,,미용,,,,,
16,위드유애견훈련소,애견훈련,남양주 화도읍,,,,,,위탁,,,,,
17,멍블랑,반려동물미용,남양주 화도읍,,,,,,미용,,,,,
18,동진동물약품,동물병원,남양주 화도읍,,,,,,병원,,,,,
19,빛나개살롱,반려동물미용,남양주 화도읍,,,,,,미용,,,,,
20,푸들리,반려동물미용,남양주 화도읍,,,,,,미용,,,,,
21,doggie,반려동물호텔,남양주 화도읍,,,,,,위탁,,,,,
22,LIKEFRISE,반려동물미용,남양주 화도읍,,,,,,미용,,,,,
23,초코네애견샵,반려동물미용,남양주 화도읍,,,,,,미용,,,,,
24,퍼펙트독 반려견교육센터 동물에이전시,애견훈련,남양주 화도읍,,,,,,위탁,,,,,
25,몽몽이,반려동물,남양주 화도읍,,병원미용실호텔용품샵훈련소,,,,복합시설,,,,,
26,깍개,반려동물미용,남양주 화도읍,,,,,,미용,,,,,
27,꼬마펫,반려동물미용,남양주 화도읍,,,,,,미용,,,,,
28,멍멍이와야옹이,반려동물미용,남양주 화도읍,,,,,,미용,,,,,
29,도도스타일,반려동물미용,남양주 화도읍,,,,,,미용,,,,,
30,에코바이,동물사료제조,남양주 화도읍,,공장,,,,0,,,,,
31,슈나애견미용,반려동물미용,남양주 화도읍,,,,,,미용,,,,,
32,내새끼닷컴,반려동물,남양주 화도읍,,강아지고양이간식이랑 옷대여해주는곳/온라인매장,,,,용품,,,,,
33,애완용품을부탁해 마석점,반려동물용품,남양주 화도읍,,,,,,용품,,,,,
34,펫프렌즈 애견미용,반려동물미용,남양주 화도읍,,,,,,미용,,,,,
35,한국사료,동물사료제조,남양주 화도읍,,공장,,,,0,,,,,
36,강아지예뻐지는곳,반려동물미용,남양주 화도읍,,,,,,미용,,,,,
37,다솜유통,반려동물용품,남양주 화도읍,,,,,,용품,,,,,
38,향내음,반려동물,남양주 화도읍,,강아지 아로마제작하는 곳,,,,0,,,,,
39,토탈라이프,반려동물용품,남양주 화도읍,,,,,,용품,,,,,
40,펫스튜어드본점,동물사료제조,남양주 화도읍,,동물사료 공장,,,,0,,,,,
41,딜라이트,동물사료제조,남양주 화도읍,,공장/농업축산발효기술전문,,,,0,,,,,
42,피앤엘,반려동물,남양주 화도읍,,x,,,,0,,,,,
43,이규로동물병원,기타,남양주 화도읍,,정보없음,,,,0,,,,,
44,경기도북부동물위생시험소 북부지소,농림축산식품부,남양주 화도읍,,"방역,위생청소",,,,0,,,,,
45,경기도북부동물위생시험소북부지소테니스장,테니스장,남양주 화도읍,,,,,,0,,,,,
46,장보는강아지와고양이 남양주점,애견용품,남양주 화도읍,,반려동물동반가능 캠핑장,,,,0,,,,,
47,감초당약국,약국,남양주 화도읍,,,,,,약국,,,,,
48,마석정문약국,약국,남양주 화도읍,,,,,,약국,,,,,
49,캠성,인터넷상거래,남양주 화도읍,,,,,,0,,,,,
50,호랑이 약국,약국,남양주 화도읍,,,,,,약국,,,,,
51,제이디에이치산업,종합도소매,남양주 화도읍,,반려동물 유통 창고임대 ,,,,0,,,,,
52,펫앤바이오,애견사료,남양주 화도읍,,공장,,,,0,,,,,
53,해밀정원,"가구,인테리어",남양주 화도읍,,"가드닝소품판매,동물모형만들기",,,,용품,,,,,
54,펫디아,종합도소매,남양주 화도읍,,애완용품전문점,,,,용품,,,,,
55,디렉터스,종합도소매,남양주 화도읍,,,,,,용품,,,,,
56,신화디자인,애견용품,남양주 화도읍,,,,,,용품,,,,,
57,페디슨,종합도소매,남양주 화도읍,,용품점,,,,용품,,,,,
58,큐티댕냥애견강아지고양이무료분양,반려동물,남양주 화도읍,,,,,,0,,,,,
0,스머프곤충나라,동물원,남양주 진건읍,,,,,,0,,,,,
1,사랑해주오 유기견보호센터,동물보호단체,남양주 진건읍,,,,,,분양,,,,,
2,댕글,반려동물미용,남양주 진건읍,,,,,,미용,,,,,
3,늘건강약국,약국,남양주 진건읍,,,,,,약국,,,,,
4,진건동물병원,동물병원,남양주 진건읍,,,,,,병원,,,,,
5,원약국,약국,남양주 진건읍,,,,,,약국,,,,,
6,dog조아,반려동물미용,남양주 진건읍,,,,,,미용,,,,,
7,애견돌봄원,반려동물,남양주 진건읍,,강아지호텔,,,,위탁,,,,,
8,놀아주오,반려동물호텔,남양주 진건읍,,,,,,위탁,,,,,
9,후레시드코리아,반려동물장례,남양주 진건읍,,,,,,장례,,,,,
10,딩동댕애견학교,애견훈련,남양주 진건읍,,,,,,위탁,,,,,
11,돌돌샵,반려동물미용,남양주 진건읍,,,,,,미용,,,,,
12,렙타일팜,반려동물분양,남양주 진건읍,,,,,,분양,,,,,
13,듀펫엔까까미용,반려동물미용,남양주 진건읍,,,,,,미용,,,,,
14,러블리독,반려동물미용,남양주 진건읍,,,,,,미용,,,,,
15,강아지생각,애견훈련,남양주 진건읍,,,,,,위탁,,,,,
16,선바이오텍,동물사료제조,남양주 진건읍,,,,,,0,,,,,
17,모모펫,반려동물,남양주 진건읍,,,,,,0,,,,,
18,메트로펫,반려동물,남양주 진건읍,,,,,,0,,,,,
19,네일사랑,"네일아트,네일샵",남양주 진건읍,,,,,,0,,,,,
20,렉사앤모런,금속가공제품제조,남양주 진건읍,,,,,,0,,,,,
21,펫링크,애플리케이션개발,남양주 진건읍,,반려동물용품배달/반려동물용품,,,,용품,,,,,
0,보듬컴퍼니 오남캠퍼스,애견훈련,남양주 오남읍,,,,,,위탁,,,,,
1,하이동물병원,동물병원,남양주 오남읍,,,,,,병원,,,,,
2,오남동물병원,동물병원,남양주 오남읍,,,,,,병원,,,,,
3,사랑으로동물병원,동물병원,남양주 오남읍,,,,,,병원,,,,,
4,독앤바버,반려동물미용,남양주 오남읍,,,,,,미용,,,,,
5,애니멀하우스,반려동물호텔,남양주 오남읍,,,,,,위탁,,,,,
6,강아지야애견샵,반려동물미용,남양주 오남읍,,,,,,미용,,,,,
7,이쁘개 해줄개,반려동물미용,남양주 오남읍,,,,,,미용,,,,,
8,몽글펫,반려동물미용,남양주 오남읍,,,,,,미용,,,,,
9,러블리독,반려동물미용,남양주 오남읍,,,,,,미용,,,,,
10,퍼피조아,반려동물미용,남양주 오남읍,,,,,,미용,,,,,
11,댕꼬미 강아지분양 애견목욕 남양주진접오남점,반려동물미용,남양주 오남읍,,,,,,미용,,,,,
12,으뜸온누리약국,약국,남양주 오남읍,,,,,,약국,,,,,
13,아무도없개 오남점,반려동물용품,남양주 오남읍,,,,,,용품,,,,,
14,K Animal,반려동물분양,남양주 오남읍,,,,,,분양,,,,,
15,the D왈G 샾,반려동물미용,남양주 오남읍,,,,,,미용,,,,,
16,아지사랑,반려동물미용,남양주 오남읍,,,,,,미용,,,,,
17,호마드,동물사료제조,남양주 오남읍,,,,,,0,,,,,
18,모여라애견미용,반려동물미용,남양주 오남읍,,,,,,미용,,,,,
19,수제명가,동물사료제조,남양주 오남읍,,공장,,,,0,,,,,
20,헬로멍냥,반려동물용품,남양주 오남읍,,,,,,용품,,,,,
21,리니펫,반려동물용품,남양주 오남읍,,,,,,용품,,,,,
22,반려감동,반려동물용품,남양주 오남읍,,,,,,용품,,,,,
23,OUT Gecko,반려동물분양,남양주 오남읍,,,,,,분양,,,,,
24,산시아코리아,동물사료제조,남양주 오남읍,,,,,,0,,,,,
25,대경에프엔비,동물사료제조,남양주 오남읍,,,,,,0,,,,,
27,종로김약국,약국,남양주 오남읍,,,,,,약국,,,,,
28,순간 사진관,"사진,스튜디오",남양주 오남읍,,반려동물사진찍는곳,,,,사진,,,,,
29,서정약국,약국,남양주 오남읍,,,,,,약국,,,,,
30,365약국,약국,남양주 오남읍,,,,,,약국,,,,,
31,진주약국,약국,남양주 오남읍,,,,,,약국,,,,,
32,시노디아,"가구,인테리어",남양주 오남읍,,반려동물가구제작용품점,,,,용품,,,,,
33,가온산업,"폐기물수집,처리업",남양주 오남읍,,,,,,0,,,,,
34,아이앤지메딕스,제조업,남양주 오남읍,,제조공장,,,,0,,,,,
35,큐티댕냥애견강아지고양이무료분양,반려동물,남양주 오남읍,,유령회사(?),,,,0,,,,,
,,,,,,,,ㅊ,,,,,,
